Chokurdakh,62,RU,1561780444,25,70.62,147.9,289.062,4.78
Sobolevo,0,RU,1561780444,82,54.43,31.9,281.072,5.41
Grand Gaube,75,MU,1561780445,78,-20.01,57.66,295.15,7.7
Tessalit,10,ML,1561780445,25,20.2,1.01,303.622,3.55
Binzhou,0,CN,1561780446,45,37.38,117.96,305.37,4.04
Ilhabela,0,BR,1561780453,83,-23.78,-45.36,296.612,2.82
Xapuri,0,BR,1561780453,95,-10.65,-68.5,295.402,0.56
Marawi,100,PH,1561780454,72,8,124.29,303.15,1.79
Waitati,68,NZ,1561780437,65,-45.75,170.57,283.71,0.89
High Prairie,100,CA,1561780454,89,55.43,-116.48,286.942,5.29
Kataysk,15,RU,1561780455,72,56.29,62.58,288.282,4.34
Yerbogachen,77,RU,1561780455,35,61.28,108.01,302.642,1.29
Cockburn Town,26,TC,1561780190,79,21.46,-71.14,301.022,11.27
Jose Bonifacio,0,BR,1561780456,56,-21.05,-49.69,296.15,3.6
Monrovia,75,LR,1561780456,94,6.33,-10.8,297.15,3.19
Esmeralda,96,CL,1561780456,94,-34.33,-70.9,282.212,1.17
Sungaipenuh,7,ID,1561780457,62,-2.08,101.38,302.842,1.57
Sioux Lookout,20,CA,1561780457,72,50.1,-91.92,296.15,1.92
Ilulissat,20,GL,1561780457,65,69.22,-51.1,278.15,1
Port-Cartier,90,CA,1561780464,93,50.03,-66.88,284.82,1
Birao,100,CF,1561780464,92,10.3,22.78,295.982,2.75
Prince Rupert,40,CA,1561780464,87,54.32,-130.32,288.15,2.6
Merville,0,FR,1561780465,88,43.72,1.3,295.15,1.5
Bulgan,0,MN,1561780465,54,48.81,103.53,289.872,2.59
Ribeira Grande,15,PT,1561780465,72,38.52,-28.7,291.732,3.31
Vestmannaeyjar,100,IS,1561780466,89,63.44,-20.27,283.992,0.41
Bundaberg,40,AU,1561780466,56,-24.87,152.35,298.15,7.2
Mercedes,98,UY,1561780466,99,-33.25,-58.03,287.04,0.89
Souillac,90,FR,1561780170,93,45.6,-0.6,293.15,0.8
Diego de Almagro,1,CL,1561780467,98,-26.39,-70.05,277.302,0.23
East London,0,ZA,1561780467,87,-33.02,27.91,284.15,3.6
Linxia,98,CN,1561780467,49,35.6,103.21,290.522,2.06
Visby,77,SE,1561780468,87,57.64,18.3,289.82,4.1
Garowe,23,SO,1561780468,69,8.41,48.48,296.782,10.74
Praia da Vitoria,20,PT,1561780469,87,38.73,-27.07,288.71,5.36
Manacapuru,0,BR,1561780475,83,-3.3,-60.62,299.15,0.68
Codrington,75,AU,1561780476,77,-28.95,153.24,293.71,1.07
Kaitong,100,CN,1561780476,59,44.81,123.15,293.532,3.28
Tura,0,RU,1561780476,29,64.27,100.22,302.402,4.82
San Patricio,81,PY,1561780477,54,-26.98,-56.83,298.412,4.86
Thinadhoo,100,MV,1561780477,88,0.53,72.93,298.022,0.8
Waingapu,4,ID,1561780478,56,-9.65,120.26,298.262,7.55
Baker City,90,US,1561780478,77,44.77,-117.83,289.82,3.6
Goderich,98,CA,1561780383,88,43.74,-81.71,293.15,1.93
Pierre,1,US,1561780479,78,44.37,-100.35,300.15,4.1
Sambava,63,MG,1561780479,98,-14.27,50.17,293.122,1.6
Bambous Virieux,75,MU,1561780479,78,-20.34,57.76,295.15,7.7
Berlevag,100,NO,1561780480,76,70.86,29.09,280.202,6.39
Husavik,30,CA,1561780492,54,50.56,-96.99,293.71,1.29
Phan Thiet,94,VN,1561780492,66,10.93,108.1,300.822,4.45
Vitim,100,RU,1561780493,36,59.44,112.57,300.642,3.17
Esmeraldas,0,BR,1561780493,72,-19.76,-44.31,290.15,3.1
Urengoy,93,RU,1561780494,68,65.96,78.37,285.782,4.82
Nemuro,75,JP,1561780494,76,43.32,145.57,287.15,2.6
Harper,1,US,1561780495,64,30.3,-99.24,297.59,1.5
Simao,100,CN,1561780495,58,22.76,100.79,301.182,1.13
Hay River,75,CA,1561780496,67,60.82,-115.79,287.15,4.6
Airai,37,TL,1561780496,42,-8.93,125.41,301.102,1.12
Fukuma,75,JP,1561780497,83,33.77,130.47,300.93,5.1
Roebourne,0,AU,1561780503,26,-20.77,117.15,295.092,10.07
Klaksvik,35,FO,1561780503,93,62.23,-6.59,283.15,2.6
Tarakan,20,ID,1561780504,74,3.3,117.63,303.15,1.5
Beringovskiy,100,RU,1561780504,88,63.05,179.32,280.982,1.75
Port Hedland,1,AU,1561780505,23,-20.31,118.58,296.15,8.2
Notre-Dame-du-Lac,1,CA,1561780505,63,47.61,-68.8,292.15,1.5
Tabou,100,CI,1561780505,88,4.42,-7.36,296.912,1.57
Callaway,1,US,1561780506,73,46.98,-95.91,296.15,1.5
Eyemouth,62,GB,1561780507,100,55.87,-2.09,287.04,2.6
Cosbuc,22,RO,1561780507,83,47.37,24.4,282.392,1.52
Skelleftea,35,SE,1561780507,81,64.75,20.95,285.93,3.6
Poitiers,0,FR,1561780508,88,46.58,0.34,294.82,1
Plettenberg Bay,100,ZA,1561780508,76,-34.05,23.37,282.822,1.45
Longyearbyen,75,NO,1561780515,69,78.22,15.63,277.15,4.1
Ponta Delgada,20,PT,1561780515,77,37.73,-25.67,290.15,2.1
Tautira,90,PF,1561780516,73,-17.73,-149.15,298.15,5.1
Hambantota,20,LK,1561780516,79,6.12,81.12,303.15,8.7
Kodiak,40,US,1561780234,83,39.95,-94.76,303.15,4.1
Narasannapeta,100,IN,1561780517,65,18.42,84.04,302.912,1.64
Kozhevnikovo,90,RU,1561780517,66,56.26,83.98,289.902,3.94
Sao Filipe,0,CV,1561780234,87,14.9,-24.5,295.612,9.89
Chiredzi,51,ZW,1561780518,63,-21.05,31.67,286.562,1.38
Atambua,65,ID,1561780518,58,-9.11,124.89,299.942,2.94
Yongan,0,CN,1561780519,36,39.7,113.69,296.182,7.41
Bambanglipuro,0,ID,1561780519,75,-7.95,110.28,298.272,8.33
Puerto del Rosario,25,ES,1561780520,72,28.5,-13.86,293.15,3.1
Beaupre,75,CA,1561780520,93,47.04,-70.9,292.04,3.1
Novikovo,100,RU,1561780520,79,51.15,37.89,285.002,6.09
Cururupu,26,BR,1561780521,98,-1.82,-44.87,295.932,0.86
Dzaoudzi,90,YT,1561780521,88,-12.79,45.27,299.15,4.6
Saint-Philippe,90,CA,1561780522,68,45.36,-73.48,295.93,4.6
Lusambo,3,CD,1561780522,66,-4.97,23.44,293.692,0.99
Chapais,75,CA,1561780523,72,49.78,-74.86,290.15,3.1
Vila,20,IT,1561780523,44,45.18,8.4,300.37,3.6
Vila Velha,0,BR,1561780523,74,-3.71,-38.6,300.15,6.2
Yilan,100,CN,1561780524,95,43.11,129.52,287.762,2.3
Alushta,19,UA,1561780524,79,44.68,34.41,287.522,0.8
Baghmara,36,IN,1561780536,42,23.8,86.21,307.592,2.64
Thunder Bay,20,CA,1561780536,82,48.41,-89.26,291.48,0.48
Katunino,75,RU,1561780536,87,64.39,40.63,281.15,3
Abu Samrah,0,SY,1561780537,70,35.3,37.18,294.502,3.65
Fernley,1,US,1561780366,30,39.61,-119.25,294.15,3.6
Dhone,98,IN,1561780537,62,15.4,77.87,300.182,8.82
Xichang,100,CN,1561780537,95,27.88,102.25,285.442,2.06
Nioro,0,GM,1561780538,84,13.79,-15.05,297.012,3.55
Holzwickede,0,DE,1561780538,81,51.5,7.62,289.26,1.5
Jati,1,PK,1561780538,63,24.35,68.27,304.622,8.51
Donskoye,0,RU,1561780539,82,45.45,41.98,292.15,5
Batticaloa,97,LK,1561780539,54,7.71,81.69,302.522,1.82
Serabu,100,SL,1561780540,95,7.79,-12.05,296.502,2.24
Punjai Puliyampatti,20,IN,1561780541,74,11.35,77.2,300.15,5.1
Pedernales,82,EC,1561780547,82,0.07,-80.05,297.592,5.41
Quattro Castella,0,IT,1561780548,83,44.63,10.47,297.59,3.1
Lufkin,0,US,1561780548,100,31.34,-94.73,298.71,0.98
Haines Junction,92,CA,1561780549,42,60.75,-137.51,292.952,2.33
Natal,20,BR,1561780549,88,-5.81,-35.21,296.15,2.6
Bonavista,100,CA,1561780550,82,48.65,-53.11,282.59,3.13
Ventspils,0,LV,1561780550,93,57.39,21.56,284.15,1.5
Margate,75,AU,1561780551,63,-43.03,147.26,289.82,6.7
Adre,89,TD,1561780551,71,13.47,22.2,297.222,3.16
Mount Gambier,100,AU,1561780450,84,-37.83,140.78,285.102,12.54
Sao Miguel do Araguaia,0,BR,1561780552,49,-13.28,-50.16,294.352,1.41
Vardo,1,US,1561780559,78,39.62,-77.74,298.15,2.14
Tadine,0,NC,1561780559,77,-21.55,167.88,293.842,12.47
Santa Cruz,0,BR,1561780560,91,-6.22,-36.02,292.812,3.93
Gat,20,SN,1561780560,83,14.69,-16.54,296.15,1
Schattdorf,0,CH,1561780560,82,46.86,8.65,290.93,2.1
Moose Factory,90,CA,1561780340,82,51.26,-80.61,289.15,3.1
Luderitz,0,NA,1561780561,93,-26.65,15.16,283.15,2.6
Fukue,75,JP,1561780561,74,35.03,136.69,303.15,4.6
Maldonado,90,UY,1561780562,100,-34.91,-54.96,287.15,3.1
Portland,40,US,1561780374,77,43.66,-70.25,294.82,1.48
Solwezi,23,ZM,1561780562,68,-12.18,26.4,282.012,2.31
Key West,1,US,1561780526,72,47.93,-96.78,296.15,3.1
Belaya Gora,0,RU,1561780438,18,68.54,146.19,294.812,4.65
Juli,100,CN,1561780563,69,25.21,100.58,294.522,3.11
Falmouth,1,GB,1561780564,93,50.16,-5.07,289.26,4.6
Lompoc,40,US,1561780490,82,34.64,-120.46,290.93,5.1
Gewane,15,ET,1561780574,44,10.16,40.66,301.692,4.87
Saint Anthony,1,US,1561780574,27,43.97,-111.68,299.15,2.1
Caravelas,0,BR,1561780575,86,-17.73,-39.27,296.172,2.31
Isangel,75,VU,1561780575,83,-19.55,169.27,297.15,5.1
Pangai,75,TO,1561780575,69,-19.8,-174.35,298.15,5.1
Honiara,20,SB,1561780587,70,-9.43,159.96,305.15,5.1
Cordoba,29,AR,1561780587,37,-27.78,-67.24,283.102,0.48
Marion,100,US,1561780588,100,35.21,-90.2,298.15,1.79
Nanpara,0,IN,1561780588,38,27.87,81.5,309.222,5.21
Vao,90,EE,1561780589,61,59.1,26.19,285.472,3.55
